,APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,STATUS,INCOME_AMT,SPECIAL_CONSIDERATIONS,IS_SUCCESSFUL,ASK_AMT_BIN
6280,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6281,Other,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6282,T3,Independent,C2100,Preservation,Trust,1,25000-99999,N,1,1000000
6283,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,50000
6284,T3,CompanySponsored,Other,Preservation,Association,1,0,N,1,5000
6285,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6286,T3,Independent,C1000,Preservation,Association,1,0,N,1,5000
6287,T3,Independent,C2000,Preservation,Trust,1,5M-10M,N,1,Other
6288,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6289,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
6290,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6291,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,50000
6292,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,50000
6293,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6294,T3,CompanySponsored,C2000,Preservation,Trust,1,25000-99999,N,0,5000
6295,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6296,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6297,T7,CompanySponsored,C1000,ProductDev,Trust,1,0,N,1,5000
6298,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
6299,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6300,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,50000
6301,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
6302,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,0,50000
6303,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,1000000
6304,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6305,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6306,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6307,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6308,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6309,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
6310,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,Other
6311,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6312,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6313,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6314,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,5000
6315,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,Other
6316,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,0,Other
6317,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6318,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,50000
6319,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,Other
6320,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,50000
6321,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,50000
6322,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6323,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6324,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6325,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,Other
6326,T3,Independent,C1000,Preservation,Association,1,0,N,1,5000
6327,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,5000
6328,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6329,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6330,T3,Independent,C1200,Preservation,Trust,1,1-9999,N,1,50000
6331,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6332,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6333,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6334,T6,Independent,C2000,ProductDev,Trust,1,0,N,1,5000
6335,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6336,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6337,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6338,T3,Independent,C1000,Preservation,Trust,1,0,N,0,1000000
6339,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6340,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6341,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6342,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6343,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,1,5000
6344,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6345,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6346,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
6347,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6348,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6349,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6350,T3,Independent,C2100,Preservation,Trust,1,100000-499999,N,1,1000000
6351,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6352,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
6353,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
6354,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,Other
6355,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6356,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6357,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6358,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6359,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6360,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
6361,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6362,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6363,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6364,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6365,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6366,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6367,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6368,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6369,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6370,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,1,Other
6371,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
6372,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6373,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6374,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6375,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6376,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6377,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6378,T6,CompanySponsored,C2000,ProductDev,Association,1,25000-99999,N,1,1000000
6379,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6380,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6381,T3,Independent,C2000,Preservation,Trust,1,0,N,0,5000
6382,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6383,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6384,T3,Independent,C2000,Preservation,Trust,1,100000-499999,N,1,1000000
6385,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6386,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
6387,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6388,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
6389,T7,Independent,C1000,ProductDev,Trust,1,0,N,0,5000
6390,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6391,T3,Independent,C1200,Preservation,Trust,1,1M-5M,N,0,50000
6392,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
6393,T6,CompanySponsored,C2000,ProductDev,Association,1,0,N,1,5000
6394,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,1,50000
6395,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6396,T3,Independent,Other,Preservation,Trust,1,100000-499999,N,1,50000
6397,T5,Independent,C3000,ProductDev,Trust,1,0,N,0,5000
6398,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6399,T3,Independent,Other,Preservation,Association,1,0,N,0,5000
6400,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6401,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6402,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6403,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6404,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6405,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6406,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6407,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6408,T3,Independent,C1000,Preservation,Association,1,25000-99999,N,1,5000
6409,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6410,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6411,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6412,T5,CompanySponsored,C3000,ProductDev,Association,1,0,N,1,5000
6413,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6414,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6415,T4,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
6416,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6417,T3,Independent,C2000,Preservation,Trust,1,10M-50M,N,0,Other
6418,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6419,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6420,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6421,T3,Independent,C1000,Preservation,Trust,1,1M-5M,N,0,1000000
6422,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6423,T3,Independent,C1200,Preservation,Association,1,0,N,0,5000
6424,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
6425,T3,Independent,C1000,Preservation,Trust,1,10000-24999,N,0,50000
6426,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,1,5000
6427,T4,Independent,C3000,ProductDev,Trust,1,100000-499999,N,1,1000000
6428,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,Other
6429,T3,Independent,C2000,Preservation,Trust,1,5M-10M,N,0,Other
6430,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6431,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6432,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6433,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6434,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
6435,T3,Independent,Other,Preservation,Trust,1,1-9999,N,0,50000
6436,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6437,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6438,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6439,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6440,T7,Independent,C1000,ProductDev,Trust,1,10000-24999,N,0,50000
6441,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6442,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
6443,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6444,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6445,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
6446,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,1,1000000
6447,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6448,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6449,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6450,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
6451,T8,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6452,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6453,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
6454,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,1,1000000
6455,T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,5000
6456,T3,Independent,C1000,Preservation,Co-operative,1,1-9999,N,1,Other
6457,Other,Independent,C2000,ProductDev,Co-operative,1,5M-10M,N,0,Other
6458,Other,Independent,C1000,Preservation,Co-operative,1,0,N,1,5000
6459,Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,1,Other
6460,Other,Independent,C1000,CommunityServ,Trust,1,0,N,1,5000
6461,T3,Independent,Other,Preservation,Co-operative,1,25000-99999,N,1,50000
6462,T3,Independent,C1000,Preservation,Co-operative,1,10000-24999,N,1,1000000
6463,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6464,T3,Independent,C1000,Preservation,Co-operative,1,1M-5M,N,1,Other
6465,Other,Independent,C1000,ProductDev,Co-operative,1,10M-50M,N,0,Other
6466,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6467,T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,5000
6468,T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,1000000
6469,T3,Independent,C2000,Preservation,Co-operative,1,0,N,1,5000
6470,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6471,T3,Independent,C1000,Preservation,Association,1,0,N,1,5000
6472,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6473,T3,Independent,C1000,Preservation,Co-operative,1,10000-24999,N,1,1000000
6474,T3,Independent,C1000,Preservation,Co-operative,1,0,N,1,5000
6475,T3,Independent,C1200,Preservation,Co-operative,1,0,N,1,5000
6476,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6477,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
6478,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6479,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
6480,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6481,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6482,T5,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6483,T19,Independent,C1000,Preservation,Association,1,0,N,1,5000
6484,T3,Independent,C2100,Preservation,Trust,1,0,N,0,5000
6485,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
6486,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6487,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,1000000
6488,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,1,Other
6489,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6490,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
6491,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
6492,T4,Independent,C3000,CommunityServ,Trust,1,25000-99999,N,1,Other
6493,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6494,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6495,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
6496,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6497,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
6498,T6,Independent,C3000,ProductDev,Trust,1,25000-99999,N,0,1000000
6499,T4,CompanySponsored,C3000,ProductDev,Association,1,0,N,0,5000
6500,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,50000
6501,T10,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6502,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6503,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6504,T3,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
6505,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6506,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
6507,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6508,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6509,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6510,T6,CompanySponsored,C3000,ProductDev,Trust,1,0,N,1,5000
6511,T8,CompanySponsored,C1000,Preservation,Association,1,0,N,1,5000
6512,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6513,T19,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6514,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6515,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6516,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,1000000
6517,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,1000000
6518,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6519,T5,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6520,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6521,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
6522,T3,CompanySponsored,C1200,Preservation,Association,1,25000-99999,N,0,1000000
6523,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,1,1000000
6524,T3,Independent,C1000,Preservation,Corporation,1,0,N,1,5000
6525,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6526,T5,Independent,C1000,ProductDev,Association,1,25000-99999,N,1,1000000
6527,T6,Independent,C2000,ProductDev,Corporation,1,0,N,1,5000
6528,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6529,T3,Independent,C1200,Preservation,Trust,1,25000-99999,N,0,1000000
6530,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6531,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6532,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6533,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6534,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6535,T3,CompanySponsored,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
6536,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
6537,T6,Independent,C2000,ProductDev,Trust,1,25000-99999,N,1,1000000
6538,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6539,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6540,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6541,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6542,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6543,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6544,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6545,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6546,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,50000
6547,T3,Independent,Other,Preservation,Trust,1,10000-24999,N,1,5000
6548,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6549,T19,CompanySponsored,C1000,ProductDev,Trust,1,0,N,0,5000
6550,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6551,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6552,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6553,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,1,5000
6554,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6555,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6556,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6557,T3,Independent,Other,Preservation,Association,1,0,N,1,5000
6558,T4,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6559,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6560,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6561,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6562,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6563,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6564,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
6565,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6566,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6567,T6,Independent,C1000,ProductDev,Association,1,0,N,0,5000
6568,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
6569,T3,Independent,Other,Preservation,Trust,1,0,N,1,5000
6570,T6,Independent,C2000,ProductDev,Trust,1,0,N,1,5000
6571,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6572,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6573,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6574,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6575,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6576,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6577,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6578,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6579,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6580,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6581,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6582,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6583,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6584,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6585,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6586,T3,Independent,C1000,Preservation,Trust,1,1-9999,N,1,5000
6587,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6588,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6589,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6590,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,Other
6591,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6592,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6593,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6594,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6595,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,50000
6596,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6597,T3,CompanySponsored,C1000,Preservation,Trust,1,100000-499999,N,0,1000000
6598,T3,CompanySponsored,C1200,Preservation,Trust,1,0,N,1,5000
6599,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
6600,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6601,T3,Independent,Other,Preservation,Trust,1,25000-99999,N,1,1000000
6602,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6603,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,0,1000000
6604,T3,Independent,C1000,Preservation,Association,1,0,N,0,5000
6605,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
6606,T3,Independent,C2100,Preservation,Trust,1,0,N,0,5000
6607,T3,CompanySponsored,C2100,Preservation,Trust,1,25000-99999,N,0,50000
6608,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,1,50000
6609,T3,CompanySponsored,C2000,Preservation,Trust,1,0,N,0,5000
6610,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6611,Other,Independent,C1000,ProductDev,Trust,1,100000-499999,N,1,1000000
6612,T4,Independent,C3000,ProductDev,Trust,1,0,N,1,5000
6613,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6614,T3,CompanySponsored,Other,Preservation,Association,1,25000-99999,N,0,5000
6615,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,50000
6616,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6617,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6618,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6619,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6620,T3,Independent,C1000,Preservation,Trust,1,25000-99999,N,1,5000
6621,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6622,T3,CompanySponsored,C1200,Preservation,Association,1,0,N,0,5000
6623,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6624,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6625,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
6626,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6627,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
6628,T3,Independent,Other,Preservation,Trust,1,0,N,0,5000
6629,T3,Independent,C1200,Preservation,Association,1,0,N,1,5000
6630,T7,Independent,C1000,ProductDev,Trust,1,0,N,1,5000
6631,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6632,T3,Independent,C2000,Preservation,Trust,1,0,N,1,5000
6633,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,0,5000
6634,T3,CompanySponsored,Other,Preservation,Association,1,0,N,1,5000
6635,T3,Independent,C1200,Preservation,Trust,1,0,N,1,5000
6636,T3,Independent,C2000,Preservation,Trust,1,25000-99999,N,1,Other
6637,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6638,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6639,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6640,T3,CompanySponsored,C2000,Preservation,Association,1,0,N,0,5000
6641,T3,Independent,C2000,Preservation,Trust,1,1M-5M,N,0,Other
6642,T19,CompanySponsored,C1000,Preservation,Association,1,0,N,0,5000
6643,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6644,T3,Independent,C1200,Preservation,Trust,1,0,N,0,5000
6645,T7,CompanySponsored,C1000,ProductDev,Association,1,0,N,1,5000
6646,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6647,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6648,T3,CompanySponsored,C1000,Preservation,Trust,1,0,N,1,5000
6649,T3,Independent,C1200,Preservation,Trust,1,100000-499999,N,0,50000
6650,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6651,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,50000
6652,T3,CompanySponsored,C2100,Preservation,Trust,1,0,N,0,5000
6653,T3,Independent,C1000,Preservation,Trust,1,0,N,0,5000
6654,T3,CompanySponsored,Other,Preservation,Association,1,0,N,0,5000
6655,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6656,T3,Independent,C1000,Preservation,Trust,1,0,N,1,5000
6657,T3,Independent,C1000,Preservation,Trust,1,100000-499999,N,1,1000000
6658,T19,CompanySponsored,C1000,ProductDev,Association,1,0,N,0,5000
